怪诞之秋
00.000|8|0
00.375|7|0
00.750|6|0
01.125|5|0
01.500|4|0
01.875|3|0
02.250|2|0
02.625|1|0

02.778|有些人觉得现在自己对|0
04.815|所以那就绝不改|0
08.519|有些人懂了怎么过|0
10.741|所以他们就那样活|0

14.815|嘿哥们，找到她了吗？|0
16.667|今天她在哪出现？|0 
18.148|怪诞|0
18.519|之秋|0
19.630|怪诞|0
20.000|之秋|0
20.741|在她离开之前|0
22.593|我们也相处不长|0
24.074|怪诞|0
24.444|之秋|0
25.556|怪诞|0
25.926|之秋|0

26.481|有时除非人不见|0
28.519|否则你难以察觉|0
32.222|但是有些人从来不停|0
34.444|他们总会求变|0
37.778|现在|0

38.519|嘿哥们，找到她了吗？|0
40.370|今天她在哪出现？|0 
41.852|怪诞|0
42.222|之秋|0
43.333|怪诞|0
43.704|之秋|0
44.444|在她离开之前|0
46.296|我们也相处不长|0
47.778|怪诞|0
48.148|之秋|0
49.259|怪诞|0
49.630|之秋|0

50.370|在阿博尔大街上|0
52.222|我看到秋天不再|0
53.704|她一家开车离去|0

56.296|因为房子卖不掉|0
58.148|所以就放那空置|0 

62.222|我不懂这是为何|0
64.074|邻家小孩说这因为|0
65.556|秋天就是有点怪|0
68.148|他们把房子放那|0
70.000|奇怪就仍在|0

74.074||0

85.926|嘿哥们，找到她了吗？|0
87.778|今天她在哪出现？|0 
89.259|怪诞|0
89.630|之秋|0
90.741|怪诞|0
91.111|之秋|0
91.852|在她离开之前|0
93.704|我们也相处不长|0
95.185|怪诞|0
95.556|之秋|0
96.667|怪诞|0
97.037|之秋|0

97.778||0

105.00|
